,US Equities,World Equities,US Treasuries,High Yield,Real Estate,Commodities,Corp Bonds,T-bill,TIPS,Regime-5,Regime-7,Regime-9
1/1/85,3.69,443.231,100,112.905,382.65,769.53,245.62,564.0916,0.30%,1,1,1
2/1/85,3.99,455.868,101.9243,117.185,404.31,785.96,252.75,567.9944,-1.12%,1,1,1
3/1/85,4.11,451.672,100.133,118.672,410.96,774,246.33,571.6528,1.61%,1,1,1
4/1/85,4.08,485.608,102.0311,119.185,408.2,802.77,251.11,575.8523,2.37%,1,1,1
5/1/85,4.03,484.414,104.1377,121.356,408.57,774.58,256.72,579.6807,5.26%,1,1,1
6/1/85,4.29,503.909,109.1957,126.497,419.7,777.95,273.05,583.6563,3.97%,1,1,1
7/1/85,4.38,515.206,110.5127,128.105,429.44,741.95,275.21,586.8181,-1.46%,1,1,1
8/1/85,4.4,540.183,110.0212,129.181,433.4,737.32,274.08,590.4028,3.16%,1,1,1
9/1/85,4.36,555.151,111.708,131.78,409.7,747.69,280.59,593.8081,0.27%,1,1,1
10/1/85,4.24,582.194,112.5488,133.045,396.94,792.62,280.76,597.5679,4.57%,1,1,1
11/1/85,4.4,616.217,114.704,133.386,409.41,852.34,287.6,601.2634,4.19%,1,1,1
12/1/85,4.64,643.348,117.3751,136.711,402.83,864.01,295.02,605.0203,3.24%,1,1,1
1/1/86,4.89,671.053,120.937,141.848,405.3,846.58,304.72,608.4846,0.67%,1,1,1
2/1/86,4.98,686.838,121.6151,143.721,420.97,749.35,306.99,612.5615,0.35%,1,1,1
3/1/86,5.29,758.191,126.7117,149.254,436.9,729.6,321.67,615.9346,-1.58%,1,1,1
4/1/86,5.53,860.96,132.2955,154.985,447.65,743.01,329.5,619.1824,0.14%,1,1,1
5/1/86,5.54,914.237,132.7248,157.45,450.33,772.88,331.29,622.314,3.79%,1,1,1
6/1/86,5.79,876.014,129.212,159.182,447.76,749.69,327.65,625.7305,1.23%,1,1,1
7/1/86,5.94,931.192,133.7661,160.949,463.52,775.64,333.8,628.8599,-1.46%,1,1,1
8/1/86,5.54,983.587,134.9045,159.339,465.62,797.37,335.31,632.0205,3.26%,1,1,1
9/1/86,5.93,1079.182,138.674,161.793,485.03,857.51,342.19,634.7593,2.10%,1,1,1
10/1/86,5.5,1069.888,136.2759,163.734,473.4,840.93,341.21,637.7966,-0.83%,1,1,1
11/1/86,5.76,1002.465,138.1999,167.533,490.89,847.35,346.93,640.8296,-0.22%,1,1,1
12/1/86,5.81,1058.705,139.8849,167.081,488.17,880.97,351.93,643.5056,0.43%,1,1,1
1/1/87,5.67,1112.876,139.9575,166.596,483.03,863.89,355.1,646.4714,3.68%,1,1,1
2/1/87,6.46,1233.293,141.456,173.493,493.35,907.83,362.85,649.7068,4.59%,1,1,1
3/1/87,6.7,1272.051,142.6495,177.171,508.47,857.5,365.04,652.5337,5.85%,1,1,1
4/1/87,6.88,1379.622,140.8016,178.394,509.4,930.01,363.58,655.5828,2.13%,1,1,1
5/1/87,6.75,1517.191,138.1485,172.186,495.59,977.31,351.63,658.6721,2.83%,1,1,1
6/1/87,6.79,1516.324,137.4691,173.425,490.87,1023.5,350.03,661.8882,3.16%,1,1,1
7/1/87,7.08,1472.952,139.0016,175.645,500.64,1061.6,355.12,665.0217,2.26%,1,1,1
8/1/87,7.4,1479.133,138.4828,176.12,501.13,1122.4,354.15,668.5061,1.47%,1,1,1
9/1/87,7.58,1584.584,137.8723,177.212,491.61,1079.2,352.16,671.7673,-1.86%,-1,-1,-1
10/1/87,7.65,1561.029,135.1682,171.629,481.52,1098.4,342.23,675.3599,2.85%,-1,-1,-1
11/1/87,5.91,1334.61,140.4535,166.017,412.75,1084.1,353.65,679.0723,-1.56%,-1,-1,-1
12/1/87,5.44,1344.962,141.051,170.798,416.69,1098.9,357.42,682.2019,-1.66%,1,1,1
1/1/88,5.8,1386.2,142.665,174.915,431.49,1069.2,364.18,685.4832,0.31%,1,1,1
2/1/88,6.03,1407.99,147.6359,180.757,467.03,1096,378.46,689.0232,0.03%,1,1,1
3/1/88,6.37,1501.52,149.1629,186.613,478.28,1077.2,383.65,692.1746,-0.79%,1,1,1
4/1/88,6.27,1593.452,147.5565,184.672,479.24,1140.2,380.35,695.4712,0.82%,1,1,1
5/1/88,6.34,1616.306,146.4989,186.076,483.18,1147.2,377.66,699.1199,0.81%,1,1,1
6/1/88,6.45,1564.696,145.8278,186.355,477.65,1219.5,375.61,702.783,-0.61%,1,1,1
7/1/88,6.65,1529.611,148.8302,189.076,490.02,1185.4,384.6,706.574,-0.88%,1,1,1
8/1/88,6.64,1574.661,147.805,190.324,496.21,1195.3,383.73,710.6748,-0.58%,1,1,1
9/1/88,6.38,1473.371,148.0333,190.038,493.06,1183.7,385.35,715.0125,1.18%,1,1,1
10/1/88,6.67,1536.156,151.2601,192.433,491.37,1143.2,393.66,719.625,2.31%,1,1,1
11/1/88,6.81,1664.817,153.972,194.761,487.72,1201.9,400.54,723.8958,-0.29%,1,1,1
12/1/88,6.69,1760.54,152.2259,195.91,479.91,1285.3,396.69,728.595,0.48%,1,1,1
1/1/89,6.84,1771.595,152.7361,196.831,480.49,1367.9,397.77,733.3391,0.82%,1,1,1
2/1/89,7.31,1807.186,154.8237,200.295,482.69,1384.3,403.832,738.9019,-1.44%,1,1,1
3/1/89,7.16,1814.634,153.5403,200.736,474.71,1436.4,401.008,743.8206,1.17%,1,1,1
4/1/89,7.39,1781.747,154.5244,199.17,474.58,1518.8,402.55,749.863,-1.73%,1,1,1
5/1/89,7.71,1799.468,157.438,200.007,482.52,1593.2,409.103,754.9172,3.59%,1,1,1
6/1/89,8.06,1705.686,161.4751,203.887,493.99,1555.5,422.086,760.4109,-0.37%,1,1,1
7/1/89,8,1680.648,167.0937,206.415,498.3,1606.3,434.43,765.9402,-0.62%,1,1,1
8/1/89,8.57,1888.161,170.6304,206.147,510.15,1552.1,445.048,770.8218,-2.57%,1,1,1
9/1/89,8.85,1808.38,167.6525,206.848,510.65,1615.2,439.716,776.0845,-0.77%,1,1,1
10/1/89,8.83,1886.707,168.4055,203.373,504.61,1711.3,440.08,781.2871,2.86%,1,1,1
11/1/89,8.56,1814.801,172.8801,198.553,483.76,1721.1,450.863,786.2725,1.35%,1,1,1
12/1/89,8.77,1904.053,174.494,198.156,477.21,1747,453.928,791.3228,-0.09%,1,1,1
1/1/90,8.84,1973.994,174.726,198.473,471.78,1891.6,453.8,796.0239,3.68%,1,1,1
2/1/90,8.2,1898.233,172.2037,194.205,461.26,1880.8,448.882,801.7734,0.67%,1,1,1
3/1/90,8.35,1769.993,172.3007,190.205,445.44,1848.1,448.116,806.6128,1.00%,1,1,1
4/1/90,8.49,1594.212,172.457,195.188,446.18,1909.2,449.86,812.2886,-3.08%,1,1,1
5/1/90,8.32,1576.607,170.9502,194.856,439.33,1893.1,445.101,817.3857,3.45%,1,1,1
6/1/90,9.09,1753.541,175.5866,198.617,439.19,1852.6,463.66,822.8494,2.11%,1,-1,-1
7/1/90,9.03,1738.407,178.3788,203.424,442.54,1832.5,467.42,828.3391,2.17%,1,-1,-1
8/1/90,8.89,1764.072,180.7174,208.896,434.58,2005.4,474.46,833.6138,3.05%,1,-1,-1
9/1/90,8.07,1597.481,178.0389,197.01,408.04,2307.8,465.18,838.7976,4.53%,1,-1,-1
10/1/90,7.83,1382.249,179.906,182.628,379.76,2735.2,469.998,844.1216,2.45%,1,-1,-1
11/1/90,7.59,1584.957,182.8933,173.04,366.46,2673.3,471.691,849.3381,1.04%,1,1,1
12/1/90,8.1,1497.405,186.8224,178.439,389.8,2449.4,479.06,854.6826,1.56%,1,1,1
1/1/91,8.29,1523.658,189.7957,179.438,389.95,2441.6,485.81,859.1677,0.02%,1,1,1
2/1/91,8.7,1570.68,191.7896,184.373,424.12,2198.4,495.478,863.9417,-1.03%,1,1,1
3/1/91,9.45,1736.473,192.5367,204.543,444.98,2256.4,497.545,867.9441,1.66%,1,1,1
4/1/91,9.58,1636.569,193.595,216.59,478.9,2314.2,506.248,872.3616,1.07%,1,1,1
5/1/91,9.8,1653.289,195.8846,225.471,490.28,2400,513.805,876.4768,2.32%,1,1,1
6/1/91,10.06,1673.618,196.5486,225.877,501.85,2383.2,516.65,880.8723,0.59%,1,1,1
7/1/91,9.78,1555.327,196.4065,232.562,488.84,2332.2,516.42,884.697,0.16%,1,1,1
8/1/91,10.07,1629.513,198.8676,240.004,498.27,2428,523.594,888.9531,-1.30%,1,1,1
9/1/91,10.36,1598.395,203.254,245.525,498.57,2479,535.86,892.7852,0.52%,1,1,1
10/1/91,10.27,1683.14,207.6706,248.937,508.2,2499.1,547.551,896.9399,-2.76%,1,1,1
11/1/91,10.4,1709.86,209.3286,257.252,505.06,2592.3,551.925,900.8064,3.81%,1,1,1
12/1/91,10.17,1632.642,211.5203,258.59,505.18,2441.2,557.5,904.3435,5.75%,1,1,1
1/1/92,11.13,1713.155,218.8389,262.313,529.08,2291.9,575.72,907.2988,0.55%,1,1,1
2/1/92,11.13,1679.917,215.3656,271.547,555.27,2363.2,568.53,910.5725,4.13%,1,1,1
3/1/92,11.27,1621.987,216.2359,278.254,542.38,2307.3,573.983,913.2983,6.50%,1,1,1
4/1/92,10.99,1516.366,214.8933,281.704,534.31,2377.8,574.211,916.3762,0.66%,1,1,1
5/1/92,11.09,1522.406,216.4394,282.775,535.51,2432.8,576.612,919.2378,-0.72%,1,1,1
6/1/92,11.25,1620.652,220.1677,286.762,552.75,2491.8,585.328,922.1218,-1.53%,1,1,1
7/1/92,11.09,1547.714,223.4049,289.457,546.05,2481.5,597.526,924.9348,3.98%,1,1,1
8/1/92,11.44,1511.8,228.9701,293.828,564.53,2430.5,612.306,927.6555,0.00%,1,1,1
9/1/92,11.22,1600.713,231.3497,297.676,559.65,2455.5,618.858,929.991,2.17%,1,1,1
10/1/92,11.26,1565.563,234.6079,300.706,573,2486.3,628.425,932.2427,5.81%,1,1,1
11/1/92,11.54,1488.589,231.1848,296.472,571.12,2439.9,613.44,934.6143,3.21%,1,1,1
12/1/92,11.92,1499.396,230.6972,300.199,582.24,2363.5,614.979,936.9783,1.83%,1,1,1
1/1/93,12.13,1508.721,234.6201,303.626,593.49,2393.2,625.758,939.4927,0.26%,1,1,1
2/1/93,12.38,1508.174,239.9312,312.458,631.29,2423.4,641.051,942.0022,0.75%,1,1,1
3/1/93,12.31,1556.018,245.5339,317.971,661.04,2448.4,658.061,944.1499,-1.77%,1,1,1
4/1/93,12.6,1688.666,245.08,322.057,706.94,2506.1,656.871,946.5554,2.15%,1,1,1
5/1/93,12.36,1845.722,247.3438,324.873,675.78,2480,662.391,948.9766,2.79%,1,1,1
6/1/93,12.77,1885.918,248.2061,328.731,667.53,2408.4,667.152,951.2454,-1.06%,1,1,1
7/1/93,12.72,1857.567,252.6185,335.625,687.12,2323.7,679.891,953.6836,1.78%,1,1,1
8/1/93,12.79,1920.715,253.9533,338.87,698.72,2321.4,684.187,956.2544,-0.11%,1,1,1
9/1/93,13.24,2020.146,259.5025,341.73,715.48,2309.9,701.203,958.6626,2.36%,1,1,1
10/1/93,13.3,1973.246,261.4087,342.612,748.12,2335.1,705.763,961.0195,-1.96%,1,1,1
11/1/93,13.51,2039.475,260.3235,349.547,738.7,2273.7,702.816,963.5132,0.51%,1,1,1
12/1/93,13.3,1866.693,258.9883,351.226,703.76,2146.3,698.656,966.009,0.58%,1,1,1
1/1/94,13.44,2000.759,259.6964,355.596,703.57,2111.2,701.839,968.7183,-1.42%,1,1,1
2/1/94,13.88,2167.425,262.2672,363.316,724.61,2313.9,712.608,971.0405,-1.73%,1,1,1
3/1/94,13.54,2158.033,255.9466,362.365,749.56,2219.3,693.477,973.5093,1.30%,1,1,1
4/1/94,12.99,2065.617,251.9064,348.68,719.38,2193.2,677.129,976.354,-1.81%,1,1,1
5/1/94,13.19,2149.652,249.9147,346.295,731.05,2248.1,670.614,979.5383,-1.60%,1,1,1
6/1/94,13.28,2138.827,250.0606,346.471,745.91,2268.9,670.415,982.9312,-0.96%,1,1,1
7/1/94,12.95,2163.942,249.2385,347.538,729.72,2347,667.235,986.3237,1.80%,1,1,1
8/1/94,13.35,2188.197,253.3531,350.488,727.87,2400.6,682.65,989.9954,1.13%,1,1,1
9/1/94,13.79,2243.282,253.6279,352.971,731.91,2221.4,684.102,993.8232,-1.08%,1,1,1
10/1/94,13.56,2178.297,250.1105,352.994,717.04,2197.7,671.35,997.9185,-4.23%,1,1,1
11/1/94,13.71,2247.376,248.8338,353.825,690.44,2227.6,666.199,1001.899,-1.09%,1,1,1
12/1/94,13.17,2138.658,249.1745,349.367,668,2125.15,667.714,1006.316,-2.54%,1,1,1
1/1/95,13.49,2153.656,250.9685,351.941,709.24,2209.27,674.239,1010.862,2.94%,1,1,1
