Date,World Equities,US Treasuries,Bond Risk Premium,Inflation Protection,Currency Protection,Regime-5,Regime-7,US Equities,Real Estate,Commodities,Corp Bonds
1/1/85,0.028511,0.0315,0.006408,-0.016265,0.030292,1,1,0.081301,0.056605,0.021351,0.048963
2/1/85,-0.009204,-0.044692,0.057381,0.006362,0.010258,1,1,0.030075,0.016448,-0.015217,-0.042029
3/1/85,0.075134,0.028719,-0.024396,-0.002848,-0.020739,1,1,-0.007299,-0.006716,0.037171,0.032666
4/1/85,-0.002459,0.023084,-0.004869,0.003089,0.008187,1,1,-0.012255,0.000906,-0.035116,0.037125
5/1/85,0.040245,0.08678,-0.044417,0.004077,-0.002219,1,1,0.064516,0.027241,0.004351,0.104199
6/1/85,0.022419,0.014284,-0.001572,0.02761,-0.017278,1,1,0.020979,0.023207,-0.046275,0.012482
7/1/85,0.04848,-0.014958,0.023357,-0.010178,7.00E-06,1,1,0.004566,0.009221,-0.00624,-0.006449
8/1/85,0.027709,0.021934,-0.001815,0.016312,0.011122,1,1,-0.009091,-0.054684,0.014064,0.037397
9/1/85,0.048713,0.002172,0.007427,-0.004868,-0.034424,1,1,-0.027523,-0.031145,0.060092,0.000941
10/1/85,0.058439,0.033903,-0.03134,0.026578,-0.007977,1,1,0.037736,0.031415,0.075345,0.03784
11/1/85,0.044028,0.044784,-0.019856,0.018646,0.001869,1,1,0.054545,-0.016072,0.013692,0.039552
12/1/85,0.043064,0.055787,-0.018211,0.002057,-0.000919,1,1,0.053879,0.006132,-0.020173,0.049738
1/1/86,0.023523,0.001901,0.011303,0.00114,-0.021601,1,1,0.018405,0.038663,-0.11485,0.011088
2/1/86,0.103886,0.10214,-0.063642,-0.03839,-0.010092,1,1,0.062249,0.037841,-0.026356,0.070921
3/1/86,0.135545,0.090884,-0.052486,-0.059908,-0.00351,1,1,0.045369,0.024605,0.01838,0.035323
4/1/86,0.061881,-0.006375,0.02228,-0.001805,-0.014358,1,1,0.001808,0.005987,0.040201,0.0078
5/1/86,-0.041809,-0.060598,0.071598,0.064318,0.008304,1,1,0.045126,-0.005707,-0.030005,-0.015738
6/1/86,0.062988,0.065386,-0.054285,-0.02296,-0.013943,1,1,0.025907,0.035197,0.034614,0.027015
7/1/86,0.056267,-0.003364,-0.006639,-0.023097,-0.008904,1,1,-0.06734,0.004531,0.028016,0.006459
8/1/86,0.09719,0.042794,-0.027393,0.004634,0.004684,1,1,0.070397,0.041686,0.075423,0.029238
9/1/86,-0.008612,-0.03884,0.050837,0.038342,0.004889,1,1,-0.072513,-0.023978,-0.019335,-0.004046
10/1/86,-0.063019,0.019506,0.003696,-0.022404,0.014258,1,1,0.047273,0.036946,0.007634,0.023714
11/1/86,0.056102,0.019506,-0.022204,-0.014355,0.000906,1,1,0.008681,-0.005541,0.039677,0.020249
12/1/86,0.051167,-0.002445,-0.000458,0.003733,-0.025318,1,1,-0.024096,-0.010529,-0.019388,0.012583
1/1/87,0.108203,0.01679,0.02461,0.026108,-0.005212,1,1,0.13933,0.021365,0.050863,0.03038
2/1/87,0.031426,0.015549,0.005651,0.037493,-0.000856,1,1,0.037152,0.030648,-0.05544,0.008332
3/1/87,0.084565,-0.031571,0.038474,0.07142,-0.012782,1,1,0.026866,0.001829,0.08456,-0.005509
4/1/87,0.099715,-0.03548,0.000681,0.040167,-0.001203,1,1,-0.018895,-0.02711,0.05086,-0.045337
5/1/87,-0.000571,-0.012897,0.020093,0.033259,0.015859,1,1,0.005926,-0.009524,0.047262,-0.006359
6/1/87,-0.028603,0.01165,0.001151,0.020447,0.016914,1,1,0.04271,0.019903,0.037225,0.020358
7/1/87,0.004196,-0.019659,0.022363,0.026326,0.000571,1,1,0.045198,0.000979,0.057272,-0.003802
8/1/87,0.071292,-0.013044,0.019244,0.019145,-0.011345,1,1,0.024324,-0.018997,-0.038489,-0.00783
9/1/87,-0.014865,-0.042215,0.01071,0.001029,0.00161,-1,-1,0.009235,-0.020524,0.017791,-0.03938
10/1/87,-0.145045,0.068928,-0.101626,-0.010618,-0.025647,-1,-1,-0.227451,-0.142819,-0.013019,0.047145
11/1/87,0.007757,0.001092,0.027706,-0.019806,-0.013928,-1,-1,-0.079526,0.009546,0.013652,0.014863
12/1/87,0.030661,0.017579,0.006525,-0.028017,0.007859,1,1,0.066176,0.035518,-0.027027,0.026261
1/1/88,0.015719,0.062606,-0.029207,-0.031747,0.011441,1,1,0.039655,0.082366,0.025065,0.054054
2/1/88,0.066428,0.01157,0.020827,-0.010081,-0.008198,1,1,0.056385,0.024088,-0.017153,0.018638
3/1/88,0.061226,-0.029151,0.01875,0.002908,-0.004766,1,1,-0.015699,0.002007,0.058485,-0.011634
4/1/88,0.014342,-0.021387,0.02899,0.015392,0.007316,1,1,0.011164,0.008221,0.006139,-0.009595
