,Date,Regime
0,1/1/59,Normal
1,2/1/59,Normal
2,3/1/59,Normal
3,4/1/59,Normal
4,5/1/59,Normal
5,6/1/59,Normal
6,7/1/59,Normal
7,8/1/59,Normal
8,9/1/59,Normal
9,10/1/59,Normal
10,11/1/59,Normal
11,12/1/59,Normal
12,1/1/60,Normal
13,2/1/60,Normal
14,3/1/60,Normal
15,4/1/60,Recession
16,5/1/60,Recession
17,6/1/60,Recession
18,7/1/60,Recession
19,8/1/60,Recession
20,9/1/60,Recession
21,10/1/60,Recession
22,11/1/60,Recession
23,12/1/60,Recession
24,1/1/61,Recession
25,2/1/61,Normal
26,3/1/61,Normal
27,4/1/61,Normal
28,5/1/61,Normal
29,6/1/61,Normal
30,7/1/61,Normal
31,8/1/61,Normal
32,9/1/61,Normal
33,10/1/61,Normal
34,11/1/61,Normal
35,12/1/61,Normal
36,1/1/62,Normal
37,2/1/62,Normal
38,3/1/62,Normal
39,4/1/62,Normal
40,5/1/62,Normal
41,6/1/62,Normal
42,7/1/62,Normal
43,8/1/62,Normal
44,9/1/62,Normal
45,10/1/62,Normal
46,11/1/62,Normal
47,12/1/62,Normal
48,1/1/63,Normal
49,2/1/63,Normal
50,3/1/63,Normal
51,4/1/63,Normal
52,5/1/63,Normal
53,6/1/63,Normal
54,7/1/63,Normal
55,8/1/63,Normal
56,9/1/63,Normal
57,10/1/63,Normal
58,11/1/63,Normal
59,12/1/63,Normal
60,1/1/64,Normal
61,2/1/64,Normal
62,3/1/64,Normal
63,4/1/64,Normal
64,5/1/64,Normal
65,6/1/64,Normal
66,7/1/64,Normal
67,8/1/64,Normal
68,9/1/64,Normal
69,10/1/64,Normal
70,11/1/64,Normal
71,12/1/64,Normal
72,1/1/65,Normal
73,2/1/65,Normal
74,3/1/65,Normal
75,4/1/65,Normal
76,5/1/65,Normal
77,6/1/65,Normal
78,7/1/65,Normal
79,8/1/65,Normal
80,9/1/65,Normal
81,10/1/65,Normal
82,11/1/65,Normal
83,12/1/65,Normal
84,1/1/66,Normal
85,2/1/66,Normal
86,3/1/66,Normal
87,4/1/66,Normal
88,5/1/66,Normal
89,6/1/66,Normal
90,7/1/66,Normal
91,8/1/66,Normal
92,9/1/66,Normal
93,10/1/66,Normal
94,11/1/66,Normal
95,12/1/66,Normal
96,1/1/67,Normal
97,2/1/67,Normal
98,3/1/67,Normal
99,4/1/67,Normal
100,5/1/67,Normal
101,6/1/67,Normal
102,7/1/67,Normal
103,8/1/67,Normal
104,9/1/67,Normal
105,10/1/67,Normal
106,11/1/67,Normal
107,12/1/67,Normal
108,1/1/68,Normal
109,2/1/68,Normal
110,3/1/68,Normal
111,4/1/68,Normal
112,5/1/68,Normal
113,6/1/68,Normal
114,7/1/68,Normal
115,8/1/68,Normal
116,9/1/68,Normal
117,10/1/68,Normal
118,11/1/68,Normal
119,12/1/68,Normal
120,1/1/69,Normal
121,2/1/69,Normal
122,3/1/69,Normal
123,4/1/69,Normal
124,5/1/69,Normal
125,6/1/69,Normal
126,7/1/69,Normal
127,8/1/69,Normal
128,9/1/69,Normal
129,10/1/69,Normal
130,11/1/69,Normal
131,12/1/69,Recession
132,1/1/70,Recession
133,2/1/70,Recession
134,3/1/70,Recession
135,4/1/70,Recession
136,5/1/70,Recession
137,6/1/70,Recession
138,7/1/70,Recession
139,8/1/70,Recession
140,9/1/70,Recession
141,10/1/70,Recession
142,11/1/70,Normal
143,12/1/70,Normal
144,1/1/71,Normal
145,2/1/71,Normal
146,3/1/71,Normal
147,4/1/71,Normal
148,5/1/71,Normal
149,6/1/71,Normal
150,7/1/71,Normal
151,8/1/71,Normal
152,9/1/71,Normal
153,10/1/71,Normal
154,11/1/71,Normal
155,12/1/71,Normal
156,1/1/72,Normal
157,2/1/72,Normal
158,3/1/72,Normal
159,4/1/72,Normal
160,5/1/72,Normal
161,6/1/72,Normal
162,7/1/72,Normal
163,8/1/72,Normal
164,9/1/72,Normal
165,10/1/72,Normal
166,11/1/72,Normal
167,12/1/72,Normal
168,1/1/73,Normal
169,2/1/73,Normal
170,3/1/73,Normal
171,4/1/73,Normal
172,5/1/73,Normal
173,6/1/73,Normal
174,7/1/73,Normal
175,8/1/73,Normal
176,9/1/73,Normal
177,10/1/73,Normal
178,11/1/73,Recession
179,12/1/73,Recession
180,1/1/74,Recession
181,2/1/74,Recession
182,3/1/74,Recession
183,4/1/74,Recession
184,5/1/74,Recession
185,6/1/74,Recession
186,7/1/74,Recession
187,8/1/74,Recession
188,9/1/74,Recession
189,10/1/74,Recession
190,11/1/74,Recession
191,12/1/74,Recession
192,1/1/75,Recession
193,2/1/75,Recession
194,3/1/75,Normal
195,4/1/75,Normal
196,5/1/75,Normal
197,6/1/75,Normal
198,7/1/75,Normal
199,8/1/75,Normal
200,9/1/75,Normal
201,10/1/75,Normal
202,11/1/75,Normal
203,12/1/75,Normal
204,1/1/76,Normal
205,2/1/76,Normal
206,3/1/76,Normal
207,4/1/76,Normal
208,5/1/76,Normal
209,6/1/76,Normal
210,7/1/76,Normal
211,8/1/76,Normal
212,9/1/76,Normal
213,10/1/76,Normal
214,11/1/76,Normal
215,12/1/76,Normal
216,1/1/77,Normal
217,2/1/77,Normal
218,3/1/77,Normal
219,4/1/77,Normal
